"Id","Intitule","Entreprise","Statut","Erreur"
"SPONT-s-a-formica","Candidature spontanée - Alternance Data / Science des données","S.A. Formica","OK",""
"SPONT-federation-audoise-des-oeuvres-laiques","Candidature spontanée - Alternance Data / Science des données","Fédération Audoise des Oeuvres Laiques","OK",""
"SPONT-direction-de-la-statistique-division-de-","Candidature spontanée - Alternance Data / Science des données","DIRECTION DE LA STATISTIQUE Division de l'Information","OK",""
"SPONT-crca-mutuel-du-cantal","Candidature spontanée - Alternance Data / Science des données","CRCA Mutuel du Cantal","OK",""
"SPONT-ets-alaux-et-gestin-s-a","Candidature spontanée - Alternance Data / Science des données","Ets Alaux et Gestin S.A.","OK",""
"SPONT-euro-rscg-worldwide","Candidature spontanée - Alternance Data / Science des données","Euro RSCG Worldwide","OK",""
"SPONT-aude-micro-systemes","Candidature spontanée - Alternance Data / Science des données","Aude Micro Systèmes","OK",""
"SPONT-consessionnaire-fiat","Candidature spontanée - Alternance Data / Science des données","Consessionnaire FIAT","OK",""
"SPONT-cr-agr-midi-castelnau-le-lez","Candidature spontanée - Alternance Data / Science des données","Cr. Agr. Midi Castelnau-le-Lez","OK",""
"SPONT-samu-auchan-20","Candidature spontanée - Alternance Data / Science des données","SAMU - Auchan 20","OK",""
"SPONT-renault-grand-garage-de-catalogne-sa","Candidature spontanée - Alternance Data / Science des données","Renault - Grand Garage de Catalogne SA","OK",""
"SPONT-naxos-sarl","Candidature spontanée - Alternance Data / Science des données","Naxos Sarl","OK",""
"SPONT-association-la-maison-des-enfants","Candidature spontanée - Alternance Data / Science des données","Association La maison des enfants","OK",""
"SPONT-banque-populaire-p-o-a-a","Candidature spontanée - Alternance Data / Science des données","Banque Populaire P.O.A.A.","OK",""
"SPONT-centre-hospitalier-de-perpignan","Candidature spontanée - Alternance Data / Science des données","Centre Hospitalier de Perpignan","OK",""
"SPONT-comite-departemental-du-tourisme-p-o","Candidature spontanée - Alternance Data / Science des données","Comité Départemental du Tourisme P.O.","OK",""
"SPONT-reseau-champion-grdes-surf","Candidature spontanée - Alternance Data / Science des données","Réseau Champion (grdes surf.)","OK",""
"SPONT-conseil-general-des-pyrenees-orientales","Candidature spontanée - Alternance Data / Science des données","Conseil Général des Pyrénées Orientales","OK",""
"SPONT-ddaf-des-pyr-orientales","Candidature spontanée - Alternance Data / Science des données","DDAF des Pyr. Orientales","OK",""
"SPONT-dde-des-pyr-orientales","Candidature spontanée - Alternance Data / Science des données","DDE des Pyr. Orientales","OK",""
"SPONT-france-telecom-perpignan","Candidature spontanée - Alternance Data / Science des données","France Telecom Perpignan","OK",""
"SPONT-hopital-saint-jean-roussillon","Candidature spontanée - Alternance Data / Science des données","Hôpital Saint Jean Roussillon","OK",""
"SPONT-mutuelles-via-sante","Candidature spontanée - Alternance Data / Science des données","Mutuelles Via Santé","OK",""
"SPONT-ste-mediterraneenne-dinformatique","Candidature spontanée - Alternance Data / Science des données","Sté Méditerranéenne dInformatique","OK",""
"SPONT-cpam-des-pyrenees-orientales","Candidature spontanée - Alternance Data / Science des données","CPAM des Pyrénées Orientales","OK",""
"SPONT-caf-des-pyrenees-orientales","Candidature spontanée - Alternance Data / Science des données","CAF des Pyrénées Orientales","OK",""
"SPONT-cci-de-perpignan-et-des-p-o","Candidature spontanée - Alternance Data / Science des données","CCI de Perpignan et des P.O.","OK",""
"SPONT-s-a-s-p-usap","Candidature spontanée - Alternance Data / Science des données","S.A.S.P. USAP","OK",""
"SPONT-dir-des-services-fiscaux-des-p-o","Candidature spontanée - Alternance Data / Science des données","Dir. des Services Fiscaux des P.O.","OK",""
"SPONT-immo-perpignan-66","Candidature spontanée - Alternance Data / Science des données","Immo Perpignan 66","OK",""
"SPONT-crca-sud-mediterranee","Candidature spontanée - Alternance Data / Science des données","CRCA Sud Méditerranée","OK",""
"SPONT-sarl-naxos","Candidature spontanée - Alternance Data / Science des données","SARL Naxos","OK",""
"SPONT-ucavca","Candidature spontanée - Alternance Data / Science des données","UCAVCA","OK",""
"SPONT-mairie-dales","Candidature spontanée - Alternance Data / Science des données","Mairie dAlès","OK",""
"SPONT-merlin-gerin","Candidature spontanée - Alternance Data / Science des données","Merlin Gerin","OK",""
"SPONT-pechiney-rhenalu","Candidature spontanée - Alternance Data / Science des données","Pechiney-Rhenalu","OK",""
"SPONT-cnamts","Candidature spontanée - Alternance Data / Science des données","CNAMTS","OK",""
"SPONT-aude-materiaux","Candidature spontanée - Alternance Data / Science des données","Aude Matériaux","OK",""
"SPONT-sopragroup","Candidature spontanée - Alternance Data / Science des données","SOPRAGROUP","OK",""
"SPONT-caves-du-sieur-darques","Candidature spontanée - Alternance Data / Science des données","Caves du Sieur dArques","OK",""
"SPONT-aimery-sieur-darques","Candidature spontanée - Alternance Data / Science des données","Aimery Sieur dArques","OK",""
"SPONT-motorola","Candidature spontanée - Alternance Data / Science des données","MOTOROLA","OK",""
"SPONT-ude-micro-informatique","Candidature spontanée - Alternance Data / Science des données","@ude Micro Informatique","OK",""
"SPONT-service-departemental-dincendie-et-de-se","Candidature spontanée - Alternance Data / Science des données","Service Départemental dIncendie et de Secours de","OK",""
"SPONT-soc-des-producteurs-de-blanquette","Candidature spontanée - Alternance Data / Science des données","Soc. des Producteurs de Blanquette","OK",""
"SPONT-e-leclerc","Candidature spontanée - Alternance Data / Science des données","E. LECLERC","OK",""
"SPONT-pierre-fabre-institut-de-recherche","Candidature spontanée - Alternance Data / Science des données","Pierre Fabre - Institut de recherche","OK",""
"SPONT-pierre-fabre-dermo-cosmetique","Candidature spontanée - Alternance Data / Science des données","Pierre Fabre Dermo-Cosmétique","OK",""
"SPONT-cgx-system","Candidature spontanée - Alternance Data / Science des données","CGX System","OK",""
"SPONT-chic-castres-mazamet","Candidature spontanée - Alternance Data / Science des données","CHIC Castres-Mazamet","OK",""
"SPONT-agence-nationale-de-la-statistique-et-de","Candidature spontanée - Alternance Data / Science des données","Agence Nationale de la Statistique et de la Démographie","OK",""
"SPONT-direction-des-service-fiscaux","Candidature spontanée - Alternance Data / Science des données","Direction des Service Fiscaux","OK",""
"SPONT-capeb-aude","Candidature spontanée - Alternance Data / Science des données","CAPEB Aude","OK",""
"SPONT-caf-du-lot","Candidature spontanée - Alternance Data / Science des données","CAF du Lot","OK",""
"SPONT-sabate-s-a-espace-tech-ulrich","Candidature spontanée - Alternance Data / Science des données","Sabaté S.A. - Espace Tech Ulrich","OK",""
"SPONT-laboratoire-de-recherches-zootechniques-","Candidature spontanée - Alternance Data / Science des données","Laboratoire de Recherches zootechniques et vétérin","OK",""
"SPONT-centre-hospitalier-de-lezignan","Candidature spontanée - Alternance Data / Science des données","Centre Hospitalier de Lézignan","OK",""
"SPONT-eponia-informatique","Candidature spontanée - Alternance Data / Science des données","Eponia informatique","OK",""
"SPONT-institut-de-medecine-tropicale-service-d","Candidature spontanée - Alternance Data / Science des données","Institut de Medecine Tropicale- Service de Santé d","OK",""
"SPONT-s-a-sud-regal","Candidature spontanée - Alternance Data / Science des données","S.A. Sud  Régal","OK",""
"SPONT-dyneff-s-a","Candidature spontanée - Alternance Data / Science des données","Dyneff S.A.","OK",""
"SPONT-pole-sud-sa-sud-regal","Candidature spontanée - Alternance Data / Science des données","Pôle Sud - SA SUD REGAL","OK",""
"SPONT-bio-vivre","Candidature spontanée - Alternance Data / Science des données","Bio Vivre","OK",""
"SPONT-sa-svd-regal","Candidature spontanée - Alternance Data / Science des données","SA SVD REGAL","OK",""
"SPONT-sigma-mediterrannee","Candidature spontanée - Alternance Data / Science des données","SIGMA Méditerrannée","OK",""
"SPONT-silvavenir","Candidature spontanée - Alternance Data / Science des données","SILVAVENIR","OK",""
"SPONT-maison-de-lentreprise","Candidature spontanée - Alternance Data / Science des données","Maison de lEntreprise","OK",""
"SPONT-express-maree","Candidature spontanée - Alternance Data / Science des données","EXPRESS MAREE","OK",""
"SPONT-centre-hospitalier-de-millau","Candidature spontanée - Alternance Data / Science des données","Centre Hospitalier de Millau","OK",""
"SPONT-spanghero-s-a","Candidature spontanée - Alternance Data / Science des données","SPANGHERO S.A.","OK",""
"SPONT-societe-generale-de-millau","Candidature spontanée - Alternance Data / Science des données","Société Générale de Millau","OK",""
"SPONT-pizzeria-chez-pierrot","Candidature spontanée - Alternance Data / Science des données","Pizzeria <<Chez Pierrot>>","OK",""
"SPONT-jacques-roux-travaux-agricoles","Candidature spontanée - Alternance Data / Science des données","Jacques Roux - Travaux Agricoles","OK",""
